Source Labware Label,Source Position,Volume,Destination Labware Label,Destination Position
Tube1,1,480,DW 96 Plate 1,1
Tube1,2,480,DW 96 Plate 1,2
Tube1,1,480,DW 96 Plate 2,1
Tube1,2,480,DW 96 Plate 2,2
Tube5,7,480,DW 96 Plate 1,3
Tube5,8,480,DW 96 Plate 1,4
Tube5,9,480,DW 96 Plate 1,5
Tube5,10,480,DW 96 Plate 1,6
Tube5,11,480,DW 96 Plate 1,7
Tube5,12,480,DW 96 Plate 1,8
Tube5,13,480,DW 96 Plate 1,9
Tube5,14,480,DW 96 Plate 1,10
Tube5,15,480,DW 96 Plate 1,11
Tube6,7,480,DW 96 Plate 1,12
Tube6,8,480,DW 96 Plate 1,13
Tube6,9,480,DW 96 Plate 1,14
Tube6,10,480,DW 96 Plate 1,15
Tube6,11,480,DW 96 Plate 1,16
Tube6,12,480,DW 96 Plate 1,17
Tube6,13,480,DW 96 Plate 1,18
Tube6,14,480,DW 96 Plate 1,19
Tube6,15,480,DW 96 Plate 1,20
Tube7,7,480,DW 96 Plate 1,21
Tube7,8,480,DW 96 Plate 1,22
Tube7,9,480,DW 96 Plate 1,23
Tube7,10,480,DW 96 Plate 1,24
Tube7,11,480,DW 96 Plate 1,25
Tube7,12,480,DW 96 Plate 1,26
Tube7,13,480,DW 96 Plate 1,27
Tube7,14,480,DW 96 Plate 1,28
Tube7,15,480,DW 96 Plate 1,29
Tube8,7,480,DW 96 Plate 1,30
Tube8,8,480,DW 96 Plate 1,31
Tube8,9,480,DW 96 Plate 1,32
Tube8,10,480,DW 96 Plate 1,33
Tube8,11,480,DW 96 Plate 1,34
Tube8,12,480,DW 96 Plate 1,35
Tube8,13,480,DW 96 Plate 1,36
Tube8,14,480,DW 96 Plate 1,37
Tube8,15,480,DW 96 Plate 1,38
Tube9,7,480,DW 96 Plate 1,39
Tube9,8,480,DW 96 Plate 1,40
Tube9,9,480,DW 96 Plate 1,41
Tube9,10,480,DW 96 Plate 1,42
Tube9,11,480,DW 96 Plate 1,43
Tube9,12,480,DW 96 Plate 1,44
Tube9,13,480,DW 96 Plate 1,45
Tube9,14,480,DW 96 Plate 1,46
Tube9,15,480,DW 96 Plate 1,47
Tube10,7,480,DW 96 Plate 1,48
Tube10,8,480,DW 96 Plate 1,49
Tube10,9,480,DW 96 Plate 1,50
Tube10,10,480,DW 96 Plate 1,51
Tube10,11,480,DW 96 Plate 1,52
Tube10,12,480,DW 96 Plate 1,53
Tube10,13,480,DW 96 Plate 1,54
Tube10,14,480,DW 96 Plate 1,55
Tube10,15,480,DW 96 Plate 1,56
Tube5,7,480,DW 96 Plate 2,3
Tube5,8,480,DW 96 Plate 2,4
Tube5,9,480,DW 96 Plate 2,5
Tube5,10,480,DW 96 Plate 2,6
Tube5,11,480,DW 96 Plate 2,7
Tube5,12,480,DW 96 Plate 2,8
Tube5,13,480,DW 96 Plate 2,9
Tube5,14,480,DW 96 Plate 2,10
Tube5,15,480,DW 96 Plate 2,11
Tube6,7,480,DW 96 Plate 2,12
Tube6,8,480,DW 96 Plate 2,13
Tube6,9,480,DW 96 Plate 2,14
Tube6,10,480,DW 96 Plate 2,15
Tube6,11,480,DW 96 Plate 2,16
Tube6,12,480,DW 96 Plate 2,17
Tube6,13,480,DW 96 Plate 2,18
Tube6,14,480,DW 96 Plate 2,19
Tube6,15,480,DW 96 Plate 2,20
Tube7,7,480,DW 96 Plate 2,21
Tube7,8,480,DW 96 Plate 2,22
Tube7,9,480,DW 96 Plate 2,23
Tube7,10,480,DW 96 Plate 2,24
Tube7,11,480,DW 96 Plate 2,25
Tube7,12,480,DW 96 Plate 2,26
Tube7,13,480,DW 96 Plate 2,27
Tube7,14,480,DW 96 Plate 2,28
Tube7,15,480,DW 96 Plate 2,29
Tube8,7,480,DW 96 Plate 2,30
Tube8,8,480,DW 96 Plate 2,31
Tube8,9,480,DW 96 Plate 2,32
Tube8,10,480,DW 96 Plate 2,33
Tube8,11,480,DW 96 Plate 2,34
Tube8,12,480,DW 96 Plate 2,35
Tube8,13,480,DW 96 Plate 2,36
Tube8,14,480,DW 96 Plate 2,37
Tube8,15,480,DW 96 Plate 2,38
Tube9,7,480,DW 96 Plate 2,39
Tube9,8,480,DW 96 Plate 2,40
Tube9,9,480,DW 96 Plate 2,41
Tube9,10,480,DW 96 Plate 2,42
Tube9,11,480,DW 96 Plate 2,43
Tube9,12,480,DW 96 Plate 2,44
Tube9,13,480,DW 96 Plate 2,45
Tube9,14,480,DW 96 Plate 2,46
Tube9,15,480,DW 96 Plate 2,47
Tube10,7,480,DW 96 Plate 2,48
Tube10,8,480,DW 96 Plate 2,49
Tube10,9,480,DW 96 Plate 2,50
Tube10,10,480,DW 96 Plate 2,51
Tube10,11,480,DW 96 Plate 2,52
Tube10,12,480,DW 96 Plate 2,53
Tube10,13,480,DW 96 Plate 2,54
Tube10,14,480,DW 96 Plate 2,55
Tube10,15,480,DW 96 Plate 2,56
