Source Labware Label,Source Position,Volume,Destination Labware Label,Destination Position
DW 96 Plate 5,1,20,PCR Plate,1
DW 96 Plate 5,2,20,PCR Plate,2
DW 96 Plate 5,3,20,PCR Plate,3
DW 96 Plate 5,4,20,PCR Plate,4
DW 96 Plate 5,5,20,PCR Plate,5
DW 96 Plate 5,6,20,PCR Plate,6
DW 96 Plate 5,7,20,PCR Plate,7
DW 96 Plate 5,8,20,PCR Plate,8
DW 96 Plate 5,9,20,PCR Plate,9
DW 96 Plate 5,10,20,PCR Plate,10
DW 96 Plate 5,11,20,PCR Plate,11
DW 96 Plate 5,12,20,PCR Plate,12
DW 96 Plate 5,13,20,PCR Plate,13
DW 96 Plate 5,14,20,PCR Plate,14
DW 96 Plate 5,15,20,PCR Plate,15
DW 96 Plate 5,16,20,PCR Plate,16
DW 96 Plate 5,17,20,PCR Plate,17
DW 96 Plate 5,18,20,PCR Plate,18
DW 96 Plate 5,19,20,PCR Plate,19
DW 96 Plate 5,20,20,PCR Plate,20
DW 96 Plate 5,21,20,PCR Plate,21
DW 96 Plate 5,22,20,PCR Plate,22
DW 96 Plate 5,23,20,PCR Plate,23
DW 96 Plate 5,24,20,PCR Plate,24
DW 96 Plate 5,25,20,PCR Plate,25
DW 96 Plate 5,26,20,PCR Plate,26
DW 96 Plate 5,27,20,PCR Plate,27
DW 96 Plate 5,28,20,PCR Plate,28
DW 96 Plate 5,29,20,PCR Plate,29
DW 96 Plate 5,30,20,PCR Plate,30
DW 96 Plate 5,31,20,PCR Plate,31
DW 96 Plate 5,32,20,PCR Plate,32
DW 96 Plate 5,33,20,PCR Plate,33
DW 96 Plate 5,34,20,PCR Plate,34
DW 96 Plate 5,35,20,PCR Plate,35
DW 96 Plate 5,36,20,PCR Plate,36
DW 96 Plate 5,37,20,PCR Plate,37
DW 96 Plate 5,38,20,PCR Plate,38
DW 96 Plate 5,39,20,PCR Plate,39
DW 96 Plate 5,40,20,PCR Plate,40
DW 96 Plate 5,41,20,PCR Plate,41
DW 96 Plate 5,42,20,PCR Plate,42
DW 96 Plate 5,43,20,PCR Plate,43
DW 96 Plate 5,44,20,PCR Plate,44
DW 96 Plate 5,45,20,PCR Plate,45
DW 96 Plate 5,46,20,PCR Plate,46
DW 96 Plate 5,47,20,PCR Plate,47
DW 96 Plate 5,48,20,PCR Plate,48
DW 96 Plate 5,49,20,PCR Plate,49
DW 96 Plate 5,50,20,PCR Plate,50
DW 96 Plate 5,51,20,PCR Plate,51
DW 96 Plate 5,52,20,PCR Plate,52
DW 96 Plate 5,53,20,PCR Plate,53
DW 96 Plate 5,54,20,PCR Plate,54
DW 96 Plate 5,55,20,PCR Plate,55
DW 96 Plate 5,56,20,PCR Plate,56
